Code,Name,Population
S13003079,Paisley East and Central,"6,210"
S13003077,Paisley Northeast and Ralston,"6,346"
S13003078,Paisley Northwest,"8,671"
S13003080,Paisley Southeast,"6,772"
S13003081,Paisley Southwest,"8,563"
S13002989,Partick East/Kelvindale,"16,642"
S13003018,Penicuik,"7,010"
S13002920,Pentland Hills,"16,021"
S13003074,Perth City Centre,"8,746"
S13003073,Perth City North,"6,328"
S13003072,Perth City South,"8,312"
S13002852,Peterhead North and Rattray,"7,066"
S13002853,Peterhead South and Cruden,"6,683"
S13002972,Pollokshields,"14,207"
S13002935,Portobello/Craigmillar,"17,810"
S13002909,"Preston, Seton and Gosford","9,221"
S13003088,Prestwick,"7,446"
S13003075,Renfrew North and Braehead,"9,136"
S13003076,Renfrew South and Gallowhill,"6,404"
S13002949,Rosyth,"7,826"
S13003106,Rutherglen Central and North,"7,334"
S13003105,Rutherglen South,"8,204"
S13003149,Saltcoats and Stevenston,"11,509"
S13002764,Selkirkshire,"4,985"
S13003139,Sgìre an Rubha,"1,134"
S13003140,Sgìre nan Loch,883
S13003138,Sgìr’ Ùige agus Càrlabhagh,860
S13003154,Shetland Central,"2,184"
S13002773,Shetland North,"1,576"
S13003155,Shetland South,"2,226"
S13003156,Shetland West,656
S13002985,Shettleston,"13,519"
S13002925,Sighthill/Gorgie,"16,297"
S13002516,South Kintyre,"3,045"
S13002974,Southside Central,"13,169"
S13002933,Southside/Newington,"19,433"
S13003024,Speyside Glenlivet,"4,566"
S13002983,Springburn/Robroyston,"14,932"
S13002962,St Andrews,"9,643"
S13003134,"Stepps, Chryston and Muirhead","6,513"
S13003141,Steòrnabhagh a Deas,"2,109"
S13003142,Steòrnabhagh a Tuath,"1,867"
S13003120,Stirling East,"5,755"
S13003118,Stirling North,"8,382"
S13003119,Stirling West,"6,737"
S13002865,Stonehaven and Lower Deeside,"7,316"
